epoch,FCDB_iou,FCDB_disp,FLMS_iou,FLMS_disp
1,0.5494,0.1151,0.6819,0.0707
2,0.6677,0.0874,0.8201,0.0446
3,0.6709,0.0838,0.8035,0.0479
4,0.6731,0.0842,0.8092,0.0467
5,0.6705,0.0835,0.8022,0.0475
6,0.6729,0.0834,0.8082,0.0464
7,0.6799,0.0814,0.8134,0.0449
8,0.6697,0.083,0.7971,0.048
9,0.6717,0.0823,0.8019,0.0469
10,0.679,0.0815,0.8194,0.0429
11,0.682,0.0813,0.8088,0.0464
12,0.6883,0.0793,0.8226,0.043
13,0.6722,0.083,0.8169,0.0429
14,0.6923,0.0776,0.8251,0.0415
15,0.6913,0.0773,0.8004,0.0468
16,0.6904,0.0778,0.8293,0.0405
17,0.6987,0.0757,0.8244,0.0413
18,0.6794,0.0813,0.8264,0.0399
19,0.6995,0.0755,0.8233,0.0407
20,0.6883,0.0785,0.8329,0.0381
21,0.6923,0.076,0.8136,0.0429
22,0.6988,0.0763,0.841,0.0375
23,0.6953,0.0767,0.8332,0.0398
24,0.6861,0.0777,0.8137,0.0423
25,0.696,0.0756,0.8281,0.0395
26,0.703,0.0741,0.8336,0.0392
27,0.7004,0.075,0.8384,0.038
28,0.6987,0.0752,0.8257,0.0394
29,0.6917,0.0766,0.8208,0.0406
30,0.6998,0.0742,0.8174,0.0418
31,0.7033,0.0732,0.8322,0.0385
32,0.7044,0.0731,0.8335,0.0384
33,0.7015,0.0738,0.8327,0.0383
34,0.7032,0.0735,0.8326,0.0385
35,0.7025,0.0735,0.8333,0.0382
36,0.7016,0.0739,0.829,0.0391
37,0.7017,0.0738,0.8362,0.0374
38,0.7024,0.0737,0.834,0.0382
39,0.6993,0.0742,0.8301,0.0386
40,0.7002,0.0741,0.8337,0.0379
41,0.7007,0.074,0.8302,0.0391
42,0.6979,0.0744,0.832,0.0385
43,0.6985,0.0744,0.8285,0.0394
44,0.6998,0.0741,0.8306,0.0385
45,0.7005,0.074,0.8301,0.0391
46,0.7013,0.074,0.8308,0.0391
47,0.6991,0.0744,0.8303,0.0391
48,0.701,0.074,0.8305,0.0389
49,0.7004,0.0743,0.83,0.0393
50,0.6987,0.0744,0.8301,0.0385
51,0.699,0.0746,0.8323,0.0388
52,0.6982,0.0744,0.8265,0.0393
53,0.6994,0.0744,0.8335,0.0385
54,0.6977,0.0745,0.8306,0.0389
55,0.6965,0.0748,0.8272,0.0392
56,0.6986,0.0742,0.8306,0.0387
57,0.6948,0.0748,0.8235,0.0404
58,0.6966,0.0747,0.826,0.0401
59,0.6966,0.0746,0.8296,0.0393
60,0.6969,0.0746,0.8284,0.0393
61,0.6983,0.0744,0.8296,0.0392
62,0.6955,0.0748,0.8273,0.0395
63,0.6967,0.0746,0.8261,0.0397
64,0.6956,0.075,0.8306,0.039
65,0.6982,0.0744,0.8299,0.0393
66,0.6982,0.0745,0.8288,0.0394
67,0.6939,0.075,0.8233,0.0403
68,0.697,0.0746,0.8298,0.0392
69,0.6982,0.0744,0.8281,0.0396
70,0.6948,0.075,0.8253,0.0398
71,0.6974,0.0746,0.8291,0.0394
72,0.6941,0.0752,0.8267,0.0398
73,0.6966,0.075,0.8323,0.0389
74,0.6964,0.0747,0.8259,0.04
75,0.6955,0.0748,0.8266,0.0397
76,0.6967,0.0748,0.8307,0.039
77,0.6948,0.075,0.8275,0.0395
78,0.6951,0.0749,0.8229,0.0403
79,0.6962,0.0748,0.8238,0.0402
80,0.6954,0.0749,0.8253,0.0399
81,0.6977,0.0746,0.8301,0.0392
82,0.6927,0.0755,0.8216,0.0404
83,0.695,0.075,0.8251,0.0398
84,0.6978,0.0745,0.8271,0.0396
85,0.6938,0.0755,0.8293,0.0396
86,0.6952,0.0749,0.8268,0.0394
87,0.6923,0.0754,0.8252,0.0398
88,0.6926,0.0754,0.8213,0.0406
89,0.6972,0.0746,0.8264,0.0398
90,0.6952,0.0754,0.8323,0.039
best FCDB_iou(epoch-31),0.7044,0.0731,0.8335,0.0384
best FCDB_disp(epoch-31),0.7044,0.0731,0.8335,0.0384
best FLMS_iou(epoch-21),0.6988,0.0763,0.841,0.0375
best FLMS_disp(epoch-36),0.7017,0.0738,0.8362,0.0374
